Date,Open,High,Low,Close
2015-01-31,1187.09,1306.43,1167.69,1283.8
2015-02-28,1280.54,1285.06,1190.43,1211.57
2015-03-31,1215.52,1223,1142.73,1183.38
2015-04-30,1183.07,1224.45,1175.51,1184.5
2015-05-31,1184.19,1232.54,1170.18,1190.22
2015-06-30,1192.49,1205.79,1163.05,1172.36
2015-07-31,1173.25,1175.31,1077.64,1095.23
2015-08-31,1095.22,1170.18,1081.32,1134.6
2015-09-30,1135.33,1156.9,1099.05,1115.34
2015-10-31,1115.54,1191.63,1104.97,1142.22
2015-11-30,1140.95,1143.2,1052.87,1064.66
2015-12-31,1064.92,1089.09,1046.64,1061.46
2016-01-31,1064.65,1128.11,1062.61,1117.69
2016-02-29,1117.94,1263.13,1117.23,1238.86
2016-03-31,1240.49,1283.04,1208.64,1232.95
2016-04-30,1232.78,1296.74,1209.41,1293.03
2016-05-31,1291.31,1303.89,1200.21,1215.74
2016-06-30,1215.92,1358.61,1206.28,1321.94
2016-07-31,1322.32,1375.42,1311.12,1352.15
2016-08-31,1348.65,1367.57,1304.64,1308.88
2016-09-30,1308.6,1352.4,1302.46,1317.57
2016-10-31,1318.24,1319.45,1241.28,1276.66
2016-11-30,1276.42,1335.39,1170.88,1173.32
2016-12-31,1173.53,1188.11,1123.04,1150.91
2017-01-31,1150.53,1220.04,1146.18,1210.61
2017-02-28,1211.06,1263.94,1198.29,1248.89
2017-03-31,1248.18,1261.1,1195.26,1247.31
2017-04-30,1250.51,1295.54,1243.94,1268.16
2017-05-31,1268.39,1274.2,1214.33,1268.58
2017-06-30,1269.12,1296,1236.7,1241.38
2017-07-31,1241.81,1271.15,1204.97,1269.4
2017-08-31,1269.62,1326.03,1251.67,1320.64
2017-09-30,1321.98,1357.56,1277.91,1280.59
2017-10-31,1280.04,1306.09,1260.69,1271.31
2017-11-30,1270.6,1299.25,1265.71,1274.87
2017-12-31,1274.57,1307.63,1236.57,1303.33
2018-01-31,1303.38,1366.12,1302.48,1345.13
2018-02-28,1345.09,1361.8,1307.15,1318.23
2018-03-31,1319.52,1356.86,1302.87,1325.43
2018-04-30,1326.02,1365.12,1310.5,1315.93
2018-05-31,1315.38,1326,1282.19,1298.46
2018-06-30,1298.97,1309.34,1246.02,1252.55
2018-07-31,1251.96,1265.92,1211.72,1222.92
2018-08-31,1223.95,1224.84,1160.31,1199.52
2018-09-30,1201.09,1212.72,1181.01,1191.96
2018-10-31,1192.48,1243.49,1183.41,1215.37
2018-11-30,1215.32,1237.39,1196.4,1222.13
2018-12-31,1222.34,1284.14,1221.38,1282.56
2019-01-31,1282.6,1326.32,1276.79,1321.37
2019-02-28,1321.34,1346.8,1302.61,1312.45
2019-03-31,1314.14,1324.58,1281.02,1292.3
2019-04-30,1292.46,1310.63,1266.55,1283.48
2019-05-31,1283.34,1306.98,1266.48,1305.87
2019-06-30,1307.21,1438.8,1306.16,1411.07
2019-07-31,1398.55,1452.81,1381.89,1413.73
2019-08-31,1413.05,1555.16,1400.6,1523.72
2019-09-30,1528.45,1557.1,1464.64,1472.72
2019-10-31,1472.34,1519.44,1459.25,1513.17
2019-11-30,1512.4,1515.88,1445.78,1464.02
2019-12-31,1464.07,1525.31,1454.05,1517.305
2020-01-31,1518.17,1611.45,1517.32,1586.88
2020-02-29,1593.43,1689.04,1547.58,1577.4
2020-03-31,1592.13,1703.16,1451.28,1575.15
2020-04-30,1576.59,1747.4,1569.8,1686.855
2020-05-31,1686.93,1765.12,1670.59,1731.5
2020-06-30,1736.49,1785.96,1671.03,1780.96
2020-07-31,1782.69,1982.77,1757.75,1974.2
2020-08-31,1979.6,2075.11,1864.19,1967.82
2020-09-30,1967.59,1992.47,1848.81,1885.8
2020-10-31,1886.25,1933.23,1860.1,1878.38
2020-11-30,1877.11,1965.55,1764.72,1776.77
2020-12-31,1777.15,1906.73,1775.83,1898.705
2021-01-31,1903.49,1959.11,1804.01,1842.81
2021-02-28,1862.7,1871.76,1717.15,1727.48
2021-03-31,1733.82,1759.54,1676.95,1707.65
2021-04-30,1708,1797.87,1705.85,1767.94
2021-05-31,1770.46,1912.81,1766.21,1906.75
2021-06-30,1907.4,1916.59,1751.16,1770.21
2021-07-31,1770.03,1833.93,1765.85,1813.91
2021-08-31,1814.2,1831.63,1671.9,1813.47
2021-09-30,1814.095,1834.1,1721.53,1756.895
2021-10-31,1756.8,1813.74,1746.01,1782.82
2021-11-30,1780.88,1877.09,1758.99,1774.96
2021-12-31,1775.085,1830.35,1754.81,1829.5
2022-01-31,1830.05,1853.88,1780.33,1797.35
2022-02-28,1797.985,1974.04,1788.88,1908.82
2022-03-31,1907.645,2069.94,1890.42,1937.27
2022-04-30,1937.58,1998.325,1872.355,1896.395
2022-05-31,1896.11,1909.845,1787.395,1837.635
2022-06-30,1836.92,1878.985,1802.885,1807.215
2022-07-31,1807.3,1814.355,1681.205,1761.035
2022-08-31,1765.7,1807.785,1709.695,1711.145
2022-09-30,1711.07,1735.125,1614.905,1661.815
2022-10-31,1661.67,1729.345,1617.395,1632.755
2022-11-30,1632.75,1786.395,1616.755,1768.615
2022-12-31,1768.69,1833.31,1765.92,1823.48
2023-01-31,1828.86,1949.16,1824.4,1928.28
2023-02-28,1928.13,1959.71,1805.1,1826.8
2023-03-31,1826.9,2009.6,1809.6,1970.8
2023-04-30,1969.17,2048.19,1949.94,1989.27
2023-05-31,1989.94,2078.925,1932.25,1962.93
2023-06-30,1962.89,1983.49,1893.075,1920.185
2023-07-31,1919.93,1987.52,1902.835,1965.575
2023-08-31,1965.78,1966.065,1884.89,1940.095
2023-09-30,1940.19,1952.925,1846.39,1848.49
2023-10-31,1848.09,2009.41,1810.565,1984.65
2023-11-30,1984.9,2051.935,1921.12,2036.195
2023-12-31,2037.13,2144.83,1973.14,2063.235
2024-01-31,2063.76,2078.915,2001.95,2039.57
2024-02-29,2039.93,2065.375,1984.39,2044.195
2024-03-31,2043.93,2234.525,2039.125,2234.12
2024-04-30,2239.27,2431.44,2228.63,2285.94
2024-05-31,2286.555,2450.05,2277.67,2327.825
2024-06-30,2328.15,2387.77,2287.77,2325.185
2024-07-31,2326.39,2483.615,2318.725,2447.64
2024-08-31,2448.675,2531.66,2364.435,2502.54
2024-09-30,2502.97,2685.39,2471.97,2634.735
2024-10-31,2634.53,2790.08,2604.855,2746.205
2024-11-30,2746.355,2762.265,2537.03,2650.455
2024-12-31,2652.75,2726.035,2583.64,2624.585
2025-01-31,2624.835,2817.17,2615.265,2801.28
2025-02-28,2801.65,2956.18,2772.47,2854.945
2025-03-31,2855.6,3127.695,2855.6,3123.275
2025-04-30,3123.28,3499.955,2956.88,3288.4
2025-05-31,3287.955,3437.935,3121.19,3294.895
2025-06-30,3299.42,3454.04,3248.61,3303.05
2025-07-31,3303.045,3439.025,3268.415,3289.985
2025-08-31,3290.435,3453.725,3281.795,3452.355
2025-09-30,3448.08,3871.785,3437.155,3858.72
2025-10-31,3858.98,4381.205,3820.165,4103.945
