Date,Open,High,Low,Close,Volume
2015-01-31,0.35,0.35,0.2896,0.2896,0
2015-02-28,0.2896,0.5499,0.0886,0.35,0
2015-03-31,0.35,1,0.25,0.31,0
2015-04-30,0.31,1,0.31,0.34,0
2015-05-31,0.34,0.65,0.278,0.489,0
2015-06-30,0.489,0.64,0.3,0.44,0
2015-07-31,0.44,0.6304,0.44,0.461,0
2015-08-31,0.461,0.75,0.39,0.4901,0
2015-09-30,0.4901,0.75,0.3,0.39,0
2015-10-31,0.39,0.5,0.3462,0.38,0
2015-11-30,0.38,0.771,0.3001,0.3656,0
2015-12-31,0.3656,0.5541,0.3609,0.4901,0
2016-01-31,0.4901,0.68,0.3743,0.524,0
2016-02-29,0.524,1.4,0.333,0.8951,0
2016-03-31,0.8951,3.3,0.52,1.4,0
2016-04-30,1.4,1.6,0.8343,0.9081,0
2016-05-31,0.9081,0.992,0.7882,0.938,0
2016-06-30,0.938,2.35,0.8728,1.58,0
2016-07-31,1.58,2.2,1.58,1.8,0
2016-08-31,1.8,10.8,1.28,8.48,0
2016-09-30,8.48,15.25,7.77,8.52,0
2016-10-31,8.52,8.75,4.2,5.12,0
2016-11-30,5.12,9.38,4.43,9.1,0
2016-12-31,9.1,14.6,7.1,13.79,0
2017-01-31,13.79,18.73,9.88,13.26,0
2017-02-28,13.26,13.8,11.62,12.27,0
2017-03-31,12.27,25.99,12.15,20.19,0
2017-04-30,20.19,24.34,18.44,23.7,0
2017-05-31,23.7,58.5,21.95,41.61,0
2017-06-30,41.61,61.69,37.22,43.23,0
2017-07-31,43.23,50.66,28.22,39.68,0
2017-08-31,39.68,154.88,39.58,141.02,0
2017-09-30,141.02,151.44,68.44,96.27,0
2017-10-31,96.27,103.31,81.71,87.31,0
2017-11-30,87.31,207.8,79.88,175.18,0
2017-12-31,175.3,473.21,165.48,331.83,0
2018-01-31,331.83,448.14,237.83,271.22,0
2018-02-28,271.19,330.48,149.46,287.75,0
2018-03-31,287.75,380.09,163.66,180.42,0
2018-04-30,180.43,298.79,163,244.39,0
2018-05-31,244.39,257.87,147.35,157.66,0
2018-06-30,157.61,177.24,106.72,128.79,0
2018-07-31,128.79,149.77,116.43,121.79,0
2018-08-31,121.79,130.73,77.51,114.43,0
2018-09-30,114.36,140.36,96.6,114.56,0
2018-10-31,114.56,120.45,99.59,104.59,0
2018-11-30,104.59,114.55,52.35,57.2,0
2018-12-31,57.2,62.19,37.84,46.64,0
2019-01-31,46.64,56.4,42.78,43.91,0
2019-02-28,43.91,56.45,41.89,48.63,0
2019-03-31,48.63,57.49,46.48,56.67,0
2019-04-30,56.71,72.76,56.35,65.11,0
2019-05-31,63.85,98.87,62.82,93.03,0
2019-06-30,93.03,120.81,77.31,92.17,0
2019-07-31,92.04,107.69,71.97,80.35,0
2019-08-31,80.37,97.78,66.17,68.11,0
2019-09-30,68.11,82.37,54.71,56.52,0
2019-10-31,56.52,65.97,51.3,58.98,0
2019-11-30,58.98,67.42,46.25,54.83,0
2019-12-31,54.82,57.72,44.1,45.02,0
2020-01-31,45.02,75.91,44.74,72.53,0
2020-02-29,72.53,96.78,66.34,67.37,0
2020-03-31,67.37,70.88,26.32,48.04,0
2020-04-30,48.06,68.41,46.58,62.67,0
2020-05-31,62.67,68.53,54.73,66.24,0
2020-06-30,66.24,69.94,60.63,63.96,0
2020-07-31,63.99,84.12,61.7,83.85,0
2020-08-31,83.85,105.87,79.47,93.73,0
2020-09-30,93.74,107.32,74.25,105.51,0
2020-10-31,105.51,139.33,94.01,126.77,0
2020-11-30,126.76,141.72,107.4,129.06,0
2020-12-31,129.07,171.04,120.82,155.97,0
2021-01-31,156.15,189.49,122.5,136.55,0
2021-02-28,136.71,288.64,135.74,220.22,0
2021-03-31,220.16,263.77,198.45,245.41,0
2021-04-30,245.41,439.75,242.47,415.27,0
2021-05-31,415.33,518,171.57,268.24,0
2021-06-30,268.35,315.38,180.56,221.77,0
2021-07-31,221.77,248.95,179.03,240.48,0
2021-08-31,240.49,339.15,223.1,287.23,0
2021-09-30,286.23,321.59,212.53,252.94,0
2021-10-31,252.89,296.96,242.95,274.82,0
2021-11-30,274.85,293.82,217.69,240.32,0
2021-12-31,240.37,244,176.5706,228.6229,913284.12221628
2022-01-31,228.7229,253,134.7404,146.073,4010338.4442841
2022-02-28,146.173,187.9315,132.2661,168.0672,2423934.3987638
2022-03-31,168.4674,225.9904,153.4307,213.2426,3330689.8776256
2022-04-30,213.0639,289.3579,208.7417,224.6,4267978.305145
2022-05-31,224.6,229.6541,113.7261,196.5426,3889107.2668857
2022-06-30,196.8424,203.9163,96.5569,108.8692,4613781.0332369
2022-07-31,108.6694,166.6367,108.4697,156.8361,3850279.6903538
2022-08-31,156.847,174.1366,141.3028,150.2985,3651765.2619066
2022-09-30,150.4985,166.9384,134,146.9,2463441.0127545
2022-10-31,146.8147,152.8214,134.5973,148.3881,2590398.9267088
2022-11-30,148.5926,162.1178,116.6375,142.1057,2751538.0179324
2022-12-31,142.0057,153.0893,138.5152,146.9265,2845806.0521645
2023-01-31,147.1249,187.6169,146.3253,177.1159,3280602.7682701
2023-02-28,177.0159,180.8235,145.3247,150.3256,2609107.6186344
2023-03-31,150.13,166.0808,132,157.8316,3633238.8930719
2023-04-30,157.8316,164.4643,149.1702,156.4891,2416797.1031518
2023-05-31,156.3875,159.2623,144.7275,145.0218,2214689.4590555
